epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,22.0564,1.67328,0.90775,1.06955,0.85777,0.91667,0.92634,0.48967,1.60453,0.8816,1.10677,0.000817758,0.000817758,0.000817758
43,22.5679,1.61112,0.87896,1.05166,0.85777,0.91667,0.92634,0.48967,1.60453,0.8816,1.10677,0.000816425,0.000816425,0.000816425
44,23.0727,1.58991,0.88346,1.05765,0.86007,0.92045,0.92936,0.47678,1.60078,0.89035,1.10289,0.000814102,0.000814102,0.000814102
45,23.6445,1.61646,0.88856,1.04304,0.86007,0.92045,0.92936,0.47678,1.60078,0.89035,1.10289,0.00081079,0.00081079,0.00081079
46,24.248,1.55665,0.87209,1.04138,0.87558,0.8797,0.91742,0.47535,1.59858,0.91403,1.09527,0.000806487,0.000806487,0.000806487
47,24.7727,1.59257,0.90886,1.06453,0.87558,0.8797,0.91742,0.47535,1.59858,0.91403,1.09527,0.000801195,0.000801195,0.000801195
48,25.3352,1.56553,0.88861,1.0619,0.91057,0.90152,0.93027,0.4925,1.60083,0.89759,1.09298,0.000794913,0.000794913,0.000794913
49,25.8875,1.65818,0.92164,1.05506,0.91057,0.90152,0.93027,0.4925,1.60083,0.89759,1.09298,0.00078764,0.00078764,0.00078764
50,26.4691,1.61862,0.91909,1.03894,0.89824,0.86929,0.93164,0.50256,1.60012,0.89237,1.09046,0.000779377,0.000779377,0.000779377
51,26.9538,1.51386,0.85746,1.05449,0.89824,0.86929,0.93164,0.50256,1.60012,0.89237,1.09046,0.0007625,0.0007625,0.0007625
52,27.4717,1.53241,0.84869,1.02333,0.9072,0.89773,0.94635,0.51427,1.55415,0.8613,1.07907,0.00073775,0.00073775,0.00073775
53,27.9934,1.56957,0.8865,1.0385,0.9072,0.89773,0.94635,0.51427,1.55415,0.8613,1.07907,0.000713,0.000713,0.000713
54,28.5961,1.51315,0.9024,1.047,0.9285,0.89773,0.93921,0.51985,1.55192,0.8406,1.07974,0.00068825,0.00068825,0.00068825
55,29.084,1.52238,0.83671,1.06075,0.9285,0.89773,0.93921,0.51985,1.55192,0.8406,1.07974,0.0006635,0.0006635,0.0006635
56,29.6013,1.63609,0.88372,1.03341,0.92555,0.89015,0.9468,0.527,1.53136,0.82999,1.06628,0.00063875,0.00063875,0.00063875
57,30.1403,1.58304,0.88415,1.02919,0.92555,0.89015,0.9468,0.527,1.53136,0.82999,1.06628,0.000614,0.000614,0.000614
58,30.7315,1.54636,0.84534,1.03624,0.89314,0.91288,0.94701,0.51837,1.53646,0.83654,1.06181,0.00058925,0.00058925,0.00058925
59,31.2528,1.52625,0.82004,1.03551,0.89314,0.91288,0.94701,0.51837,1.53646,0.83654,1.06181,0.0005645,0.0005645,0.0005645
60,31.8662,1.52204,0.83823,1.02446,0.88344,0.9053,0.92894,0.51028,1.52963,0.83513,1.06128,0.00053975,0.00053975,0.00053975
61,32.3976,1.52227,0.8196,1.0274,0.88344,0.9053,0.92894,0.51028,1.52963,0.83513,1.06128,0.000515,0.000515,0.000515
62,32.9614,1.4765,0.79997,1.02104,0.90191,0.91667,0.9347,0.50939,1.53819,0.81892,1.06634,0.00049025,0.00049025,0.00049025
63,33.5163,1.56988,0.82241,1.02809,0.90191,0.91667,0.9347,0.50939,1.53819,0.81892,1.06634,0.0004655,0.0004655,0.0004655
64,34.0563,1.65254,0.90082,1.02369,0.91653,0.92424,0.94549,0.5096,1.54318,0.81935,1.06785,0.00044075,0.00044075,0.00044075
